AmountOfPlay,AuthorID,Collection,Comment,CreationDate,Forwarding,Labels,NumberOfSongs,SongListName,SongsListID,Url
120812368,7017009,2637795,7169,2014-08-30,38289,轻音乐 学习 治愈 ,44,那些你熟悉却又不知道名字的轻音乐,26467411,https://music.163.com/playlist?id=26467411
1660776,342371680,19769,46,2024-04-12,310,欧美 R&B/Soul 放松 ,221,100%松弛度/灵魂乐R&B 慵懒 迷幻氛围,9772379403,https://music.163.com/playlist?id=9772379403
260906,301543163,7158,20,2024-09-07,40,华语 流行 放松 ,55,"【你也喜欢·世界之外】合集歌单 | 更新中
",12566993369,https://music.163.com/playlist?id=12566993369
119660,1520836115,985,评论,2024-12-17,26,欧美 R&B/Soul 放松 ,55,「 松弛感R & B 」自由的灵魂才是幸福之源,13009832748,https://music.163.com/playlist?id=13009832748
21065,8664728565,272,评论,2025-02-21,4,网络歌曲 流行 伤感 ,177,幸福像似体验卡 记忆却是永久的,13350402076,https://music.163.com/playlist?id=13350402076
33203,1688388337,1042,评论,2024-05-25,9,游戏 ACG ,114,【崩铁】星穹铁道 新春会/生日会/二创BGM,10094665726,https://music.163.com/playlist?id=10094665726
41658,342371680,335,3,2025-04-01,3,欧美 流行 说唱 ,82,欧美hiphop高质/Trap美式/精神良剂,13523814994,https://music.163.com/playlist?id=13523814994
172396,544916722,1169,8,2024-04-17,13,摇滚 流行 华语 ,36,发疯｜释放内心自由的狂野,9824218561,https://music.163.com/playlist?id=9824218561
30339,1520836115,274,6,2025-02-11,1,治愈 放松 安静 ,164,远离喧嚣 沉浸在自己的幻想世界吧,13304244461,https://music.163.com/playlist?id=13304244461
254724,1452890391,2437,10,2025-01-18,22,流行 说唱 ,121,超绝进鼓|拯救心灵的超爽力量,13164652785,https://music.163.com/playlist?id=13164652785
319429,342371680,3156,20,2024-06-28,83,欧美 放松 R&B/Soul ,189,松弛感R&B | chill沉浸 音乐是灵魂的救心丸,12236731834,https://music.163.com/playlist?id=12236731834
87690,3382619266,1251,29,2025-01-14,34,伤感 安静 ,37,命缘相思苦刀斩不断忧郁,13136684383,https://music.163.com/playlist?id=13136684383
71688,1856398242,954,22,2024-11-29,22,孤独 思念 ,48,渴望幸福的同时 痛苦也随着蔓延,12926855134,https://music.163.com/playlist?id=12926855134
168939,342371680,944,评论,2025-01-08,16,欧美 流行 放松 ,164,欧美&阳光向 | 自由 律动 舒适 松弛 氛围,13111708035,https://music.163.com/playlist?id=13111708035
15811,7872690377,83,评论,2025-02-27,0,欧美 流行 放松 ,50,合伙人优选｜可惜你不听英文歌 也不懂我,13375692501,https://music.163.com/playlist?id=13375692501
282213,342371680,5836,22,2024-06-22,77,电子 安静 孤独 ,89,梦核美学 | 渗透灵魂 量子 冥想 感知乐,12210493597,https://music.163.com/playlist?id=12210493597
